Catégorie : Toutes catégories

Jour,masque: (Québec)
2020-03-01,5
2020-03-02,5
2020-03-03,6
2020-03-04,6
2020-03-05,4
2020-03-06,6
2020-03-07,4
2020-03-08,4
2020-03-09,4
2020-03-10,3
2020-03-11,8
2020-03-12,12
2020-03-13,7
2020-03-14,8
2020-03-15,7
2020-03-16,7
2020-03-17,9
2020-03-18,11
2020-03-19,8
2020-03-20,7
2020-03-21,7
2020-03-22,9
2020-03-23,10
2020-03-24,9
2020-03-25,10
2020-03-26,11
2020-03-27,7
2020-03-28,8
2020-03-29,6
2020-03-30,10
2020-03-31,20
2020-04-01,18
2020-04-02,17
2020-04-03,19
2020-04-04,29
2020-04-05,22
2020-04-06,29
2020-04-07,34
2020-04-08,20
2020-04-09,17
2020-04-10,15
2020-04-11,13
2020-04-12,10
2020-04-13,12
2020-04-14,10
2020-04-15,17
2020-04-16,15
2020-04-17,20
2020-04-18,26
2020-04-19,24
2020-04-20,30
2020-04-21,58
2020-04-22,68
2020-04-23,94
2020-04-24,71
2020-04-25,100
2020-04-26,67
2020-04-27,48
2020-04-28,52
2020-04-29,54
2020-04-30,77
2020-05-01,68
2020-05-02,51
2020-05-03,44
2020-05-04,50
2020-05-05,48
2020-05-06,46
2020-05-07,34
2020-05-08,47
2020-05-09,46
2020-05-10,34
2020-05-11,31
2020-05-12,58
2020-05-13,93
2020-05-14,65
2020-05-15,58
2020-05-16,46
2020-05-17,32
2020-05-18,35
2020-05-19,35
2020-05-20,37
2020-05-21,36
2020-05-22,29
2020-05-23,23
2020-05-24,19
2020-05-25,21
2020-05-26,20
2020-05-27,22
2020-05-28,19
2020-05-29,16
2020-05-30,13
2020-05-31,17
2020-06-01,16
2020-06-02,16
2020-06-03,18
2020-06-04,17
2020-06-05,14
2020-06-06,14
2020-06-07,11
2020-06-08,9
2020-06-09,12
2020-06-10,11
2020-06-11,14
2020-06-12,11
2020-06-13,11
2020-06-14,9
2020-06-15,9
2020-06-16,8
2020-06-17,8
2020-06-18,7
2020-06-19,9
2020-06-20,8
2020-06-21,8
2020-06-22,7
2020-06-23,7
2020-06-24,7
2020-06-25,8
2020-06-26,7
2020-06-27,8
2020-06-28,8
2020-06-29,9
2020-06-30,16
2020-07-01,11
2020-07-02,11
2020-07-03,8
2020-07-04,6
2020-07-05,7
2020-07-06,12
2020-07-07,22
2020-07-08,26
2020-07-09,32
2020-07-10,22
2020-07-11,21
2020-07-12,20
2020-07-13,88
2020-07-14,75
2020-07-15,62
2020-07-16,51
2020-07-17,52
2020-07-18,78
2020-07-19,64
2020-07-20,49
2020-07-21,39
2020-07-22,38
2020-07-23,25
2020-07-24,25
2020-07-25,19
2020-07-26,24
2020-07-27,24
2020-07-28,20
2020-07-29,21
2020-07-30,16
2020-07-31,19
2020-08-01,22
2020-08-02,15
2020-08-03,18
2020-08-04,20
2020-08-05,17
2020-08-06,18
2020-08-07,17
2020-08-08,16
2020-08-09,19
2020-08-10,23
2020-08-11,22
2020-08-12,19
2020-08-13,19
2020-08-14,15
2020-08-15,16
2020-08-16,15
2020-08-17,13
2020-08-18,16
2020-08-19,17
2020-08-20,16
2020-08-21,15
2020-08-22,17
2020-08-23,16
2020-08-24,18
2020-08-25,14
2020-08-26,16
2020-08-27,14
2020-08-28,17
2020-08-29,11
2020-08-30,12
2020-08-31,16
